@relation recipes
@attribute "ausbauf" numeric
@attribute "kostenlo" numeric
@attribute "magazin" numeric
@attribute "rezepte" numeric
@attribute "sammlung" numeric
@attribute "foren" numeric
@attribute "gruppen" numeric
@attribute "user" numeric
@attribute "chefkoch" numeric
@attribute "de" numeric
@attribute "aktuell" numeric
@attribute "artikel" numeric
@attribute "print" numeric
@attribute "abo" numeric
@attribute "partnerm" numeric
@attribute "aeg" numeric
@attribute "perfekt" numeric
@attribute "form" numeric
@attribute "funktion" numeric
@attribute "philadel" numeric
@attribute italian {1,0}
@data
{ 0 6.123652302236509e-7,1 0.0000018370956906709528,2 0.0000024494609208946037,3 0.00001408440029514397,4 0.0000018370956906709528,5 0.0000018370956906709528,6 0.0000018370956906709528,7 0.0000018370956906709528,8 0.000011022574144025715,9 0.000007348382762683811,10 0.0000036741913813419056,11 6.123652302236509e-7,12 0.0000012247304604473019,13 0.0000012247304604473019,14 6.123652302236509e-7,15 6.123652302236509e-7,16 0.0000030618261511182544,17 0.0000012247304604473019,18 0.0000018370956906709528,19 0.0000012247304604473019,20 1}
{ 0 9.684392089586084e-7,1 0.0000029053176268758254,2 0.000003873756835834434,3 0.000022274101806047994,4 0.000001936878417917217,5 0.0000029053176268758254,6 0.0000029053176268758254,7 0.0000029053176268758254,8 0.000018400344970213565,9 0.000012589709716461912,10 0.000005810635253751651,11 9.684392089586084e-7,12 0.000001936878417917217,13 0.000001936878417917217,14 9.684392089586084e-7,15 9.684392089586084e-7,16 0.000004842196044793043,17 0.000001936878417917217,18 9.684392089586084e-7,19 0.000001936878417917217,20 0}
{ 0 5.498869019181959e-7,1 0.000001649660705754588,2 0.0000021995476076727837,3 0.000013747172547954902,4 0.0000010997738038363919,5 0.000001649660705754588,6 0.000001649660705754588,7 0.000001649660705754588,8 0.000010447851136445723,9 0.000006598642823018352,10 0.000003299321411509176,11 5.498869019181959e-7,12 0.0000010997738038363919,13 0.0000010997738038363919,14 5.498869019181959e-7,15 5.498869019181959e-7,16 0.000003849208313427372,17 5.498869019181959e-7,18 5.498869019181959e-7,19 0.0000010997738038363919,20 1}
{ 0 4.5478067674366525e-7,1 0.0000013643420302309958,2 0.000001819122706974661,3 0.000010914736241847967,4 9.095613534873305e-7,5 0.0000013643420302309958,6 0.0000013643420302309958,7 0.0000013643420302309958,8 0.000008186052181385975,9 0.000005912148797667648,10 0.0000027286840604619917,11 4.5478067674366525e-7,12 9.095613534873305e-7,13 9.095613534873305e-7,14 4.5478067674366525e-7,15 4.5478067674366525e-7,16 0.0000013643420302309958,17 4.5478067674366525e-7,18 0.0000031834647372056566,19 9.095613534873305e-7,20 0}
{ 0 6.198010937335095e-7,1 0.0000018594032812005286,2 0.000002479204374934038,3 0.000014255425155870717,4 0.000001239602187467019,5 0.0000018594032812005286,6 0.0000018594032812005286,7 0.0000018594032812005286,8 0.00001115641968720317,9 0.000007437613124802114,10 0.000003718806562401057,11 6.198010937335095e-7,12 0.000001239602187467019,13 0.000001239602187467019,14 6.198010937335095e-7,15 6.198010937335095e-7,16 0.0000030990054686675473,17 6.198010937335095e-7,18 6.198010937335095e-7,19 0.000001239602187467019,20 0}
{ 0 4.5335503198898297e-7,1 0.0000013600650959669487,2 0.0000018134201279559319,3 0.00001088052076773559,4 9.067100639779659e-7,5 0.0000013600650959669487,6 0.0000013600650959669487,7 0.0000022667751599449146,8 0.000008613745607790675,9 0.000005440260383867795,10 0.0000027201301919338974,11 4.5335503198898297e-7,12 9.067100639779659e-7,13 9.067100639779659e-7,14 4.5335503198898297e-7,15 4.5335503198898297e-7,16 0.0000018134201279559319,17 4.5335503198898297e-7,18 9.067100639779659e-7,19 9.067100639779659e-7,20 1}
{ 0 8.019607497476093e-7,1 0.000002405882249242828,2 0.0000032078429989904372,3 0.000017643136494447405,4 0.0000016039214994952186,5 0.000002405882249242828,6 0.000002405882249242828,7 0.000002405882249242828,8 0.000014435293495456967,9 0.000009623528996971311,10 0.000004811764498485656,11 8.019607497476093e-7,12 0.0000016039214994952186,13 0.0000016039214994952186,14 8.019607497476093e-7,15 8.019607497476093e-7,16 0.000004009803748738047,17 8.019607497476093e-7,18 8.019607497476093e-7,19 0.0000016039214994952186,20 1}
{ 0 4.2163339709762546e-7,1 0.0000012649001912928764,2 0.0000016865335883905018,3 0.000010540834927440639,4 8.432667941952509e-7,5 0.0000012649001912928764,6 0.0000012649001912928764,7 0.0000012649001912928764,8 0.000007589401147757259,9 0.0000050596007651715055,10 0.0000025298003825857527,11 4.2163339709762546e-7,12 8.432667941952509e-7,13 8.432667941952509e-7,14 4.2163339709762546e-7,15 4.2163339709762546e-7,16 0.0000037947005738786295,17 4.2163339709762546e-7,18 0.0000012649001912928764,19 0.0000012649001912928764,20 1}
{ 0 5.823634437764518e-7,1 0.0000017470903313293558,2 0.000002329453775105807,3 0.000013394359206858393,4 0.0000011647268875529036,5 0.0000017470903313293558,6 0.0000017470903313293558,7 0.0000017470903313293558,8 0.000010482541987976133,9 0.000006988361325317423,10 0.0000034941806626587116,11 5.823634437764518e-7,12 0.0000011647268875529036,13 0.0000011647268875529036,14 5.823634437764518e-7,15 5.823634437764518e-7,16 0.000002911817218882259,17 5.823634437764518e-7,18 5.823634437764518e-7,19 0.0000011647268875529036,20 1}
{ 0 7.189076480753217e-7,1 0.000002156722944225965,2 0.0000028756305923012867,3 0.000015815968257657077,4 0.0000014378152961506434,5 0.000002156722944225965,6 0.000002156722944225965,7 0.000002156722944225965,8 0.00001294033766535579,9 0.00000862689177690386,10 0.00000431344588845193,11 7.189076480753217e-7,12 0.0000014378152961506434,13 0.0000014378152961506434,14 7.189076480753217e-7,15 7.189076480753217e-7,16 0.0000028756305923012867,17 0.000002156722944225965,18 7.189076480753217e-7,19 0.0000014378152961506434,20 0}
{ 0 9.804763064710884e-7,1 0.000002941428919413265,2 0.0000039219052258843535,3 0.00002451190766177721,4 0.0000019609526129421768,5 0.000002941428919413265,6 0.000002941428919413265,7 0.000002941428919413265,8 0.000017648573516479592,9 0.00001176571567765306,10 0.00000588285783882653,11 9.804763064710884e-7,12 0.0000019609526129421768,13 0.0000019609526129421768,14 9.804763064710884e-7,15 9.804763064710884e-7,16 0.000002941428919413265,17 9.804763064710884e-7,18 9.804763064710884e-7,19 0.0000019609526129421768,20 0}
